id,ndex,species,forme,type1,type2,ability1,ability2,abilityH,hp,attack,defense,spattack,spdefense,speed,total,weight,height,dex1,dex2,class,percent-male,percent-female,pre-evolution,egg-group1,egg-group2
722,722,Rowlet,Rowlet,Grass,Flying,'Overgrow','Overgrow','Long Reach',68,55,55,50,50,42,320,3.3 lbs.,"1'00""","This wary Pokémon uses photosynthesis to store up energy during the day, while becoming active at night.","Silently it glides, drawing near its targets. Before they even notice it, it begins to pelt them with vicious kicks.",Grass Quill Pokémon,0.875,0.125,,Flying,
723,723,Dartrix,Dartrix,Grass,Flying,'Overgrow','Overgrow','Long Reach',78,75,75,70,70,52,420,35.3 lbs.,"2'04""","A bit of a dandy, it spends its free time preening its wings. Its preoccupation with any dirt on its plumage can leave it unable to battle.",It throws sharp feathers called blade quills at enemies or prey. It seldom misses.,Blade Quill Pokémon,0.875,0.125,Rowlet,Flying,
724,724,Decidueye,Decidueye,Grass,Ghost,'Overgrow','Overgrow','Long Reach',78,107,75,100,100,70,530,80.7 lbs.,"5'03""","It fires arrow quills from its wings with such precision, they can pierce a pebble at distances over a hundred yards.","Although basically cool and cautious, when it's caught by surprise, it's seized by panic.",Arrow Quill Pokémon,0.875,0.125,Dartrix,Flying,
725,725,Litten,Litten,Fire,,'Blaze','Blaze','Intimidate',45,65,40,60,40,70,320,9.5 lbs.,"1'04""","While grooming itself, it builds up fur inside its stomach. It sets the fur alight and spews fiery attacks, which change based on how it coughs.",It doesn't allow its emotions to be easily seen. Earning its trust takes time. It prefers solitude.,Fire Cat Pokémon,0.875,0.125,,Field,
726,726,Torracat,Torracat,Fire,,'Blaze','Blaze','Intimidate',65,85,50,80,50,90,420,55.1 lbs.,"2'04""","At its throat, it bears a bell of fire. The bell rings brightly whenever this Pokémon spits fire.","It boasts powerful front legs. With a single punch, it can bend an iron bar right over.",Fire Cat Pokémon,0.875,0.125,Litten,Field,
727,727,Incineroar,Incineroar,Fire,Dark,'Blaze','Blaze','Intimidate',95,115,90,80,90,60,530,183.0 lbs.,"5'11""","This Pokémon has a violent, selfish disposition. If it's not in the mood to listen, it will ignore its Trainer's orders with complete nonchalance.","After hurling ferocious punches and flinging furious kicks, it finishes opponents off by spewing fire from around its navel.",Heel Pokémon,0.875,0.125,Torracat,Field,
728,728,Popplio,Popplio,Water,,'Torrent','Torrent','Liquid Voice',50,54,54,66,56,40,320,16.5 lbs.,"1'04""","This Pokémon snorts body fluids from its nose, blowing balloons to smash into its foes. It's famous for being a hard worker.",This Pokémon can control water bubbles. It practices diligently so it can learn to make big bubbles.,Sea Lion Pokémon,0.875,0.125,,Water 1,Field
729,729,Brionne,Brionne,Water,,'Torrent','Torrent','Liquid Voice',60,69,69,91,81,50,420,38.6 lbs.,"2'00""","A skillful dancer, it creates a sequence of water balloons as it dances, and briskly bombards its enemies.","It cares deeply for its companions. When its Trainer is feeling down, it performs a cheery dance to try and help.",Pop Star Pokémon,0.875,0.125,Popplio,Water 1,Field
730,730,Primarina,Primarina,Water,Fairy,'Torrent','Torrent','Liquid Voice',80,74,74,126,116,60,530,97.0 lbs.,"5'11""",It controls its water balloons with song. The melody is learned from others of its kind and is passed down from one generation to the next.,Its singing voice is its chief weapon in battle. This Pokémon's Trainer must prioritize the daily maintenance of its throat at all costs.,Soloist Pokémon,0.875,0.125,Brionne,Water 2,Field
731,731,Pikipek,Pikipek,Normal,Flying,'Keen Eye','Skill Link','Pickup',35,75,30,30,30,65,265,2.6 lbs.,"1'00""",It can peck at a rate of 16 times a second to drill holes in trees. It uses the holes for food storage and for nesting.,"This Pokémon feeds on berries, whose leftover seeds become the ammunition for the attacks it fires off from its mouth.",Woodpecker Pokémon,0.5,0.5,,Flying,
732,732,Trumbeak,Trumbeak,Normal,Flying,'Keen Eye','Skill Link','Pickup',55,85,50,40,50,75,355,32.6 lbs.,"2'00""","It eats berries and stores their seeds in its beak. When it encounters enemies or prey, it fires off all the seeds in a burst.","By bending its beak, it can produce a variety of calls and brand itself a noisy nuisance for its neighbors.",Bugle Beak Pokémon,0.5,0.5,Pipipek,Flying,
733,733,Toucannon,Toucannon,Normal,Flying,'Keen Eye','Skill Link','Sheer Force',80,120,75,75,75,60,485,57.3 lbs.,"3'07""","When it battles, its beak heats up. The temperature can easily exceed 212 degrees Fahrenheit, causing severe burns when it hits.","Within its beak, its internal gas ignites, explosively launching seeds with enough power to pulverize boulders.",Cannon Pokémon,0.5,0.5,Trumbeak,Flying,
734,734,Yungoos,Yungoos,Normal,,'Stakeout','Strong Jaw','Adaptability',48,70,30,30,30,45,253,13.2 lbs.,"1'04""","With its sharp fangs, it will bite anything. It did not originally live in Alola but was imported from another region.","It wanders around in a never-ending search for food. At dusk, it collapses from exhaustion and falls asleep on the spot.",Loitering Pokémon,0.5,0.5,,Field,
735,735,Gumshoos,Gumshoos,Normal,,'Stakeout','Strong Jaw','Adaptability',88,110,60,55,60,45,418,31.3 lbs.,"2'04""","When it finds a trace of its prey, it patiently stakes out the location...but it's always snoozing by nightfall.","It adores having Rattata and Raticate for dinner, but as it's diurnal, it never encounters them. This Pokémon boasts incredible patience.",Stakeout Pokémon,0.5,0.5,Yungoos,Field,
736,736,Grubbin,Grubbin,Bug,,'Swarm','Swarm','Swarm',47,62,45,55,45,46,300,9.7 lbs.,"1'04""",Its strong jaw enables it to scrape trees and slurp out the sap. It normally lives underground.,They often gather near places frequented by electric Pokémon in order to avoid being attacked by bird Pokémon.,Larva Pokémon,0.5,0.5,,Bug,
737,737,Charjabug,Charjabug,Bug,Electric,'Battery','Battery','Battery',57,82,95,55,75,36,400,23.1 lbs.,"1'08""","Its body is capable of storing electricity. On camping trips, people are grateful to have one around.","From the food it digests, it generates electricity, and it stores this energy in its electric sac.",Battery Pokémon,0.5,0.5,Grubbin,Bug,
738,738,Vikavolt,Vikavolt,Bug,Electric,'Levitate','Levitate','Levitate',77,70,90,145,75,43,500,99.2 lbs.,"4'11""","It zips around, on sharp lookout for an opening. It concentrates electrical energy within its large jaws and uses it to zap its enemies.",It produces electricity via an electrical organ in its abdomen. It overwhelms bird Pokémon with shocking beams of electrical energy.,Stag Beetle Pokémon,0.5,0.5,Charjabug,Bug,
739,739,Crabrawler,Crabrawler,Fighting,,'Hyper Cutter','Iron Fist','Anger Point',47,82,57,42,47,63,338,15.4 lbs.,"2'00""","While guarding its weak points with its pincers, it looks for an opening and unleashes punches. When it loses, it foams at the mouth and faints.","It punches so much, its pincers often come off from overuse, but they grow back quickly. What little meat they contain is rich and delicious.",Boxing Pokémon,0.5,0.5,,Water 3,
740,740,Crabominable,Crabominable,Fighting,Ice,'Hyper Cutter','Iron Fist','Anger Point',97,132,77,62,67,43,478,396.8 lbs.,"5'07""","It aimed for the top but got lost and ended up on a snowy mountain. Being forced to endure the cold, this Pokémon evolved and grew fur.","It just throws punches indiscriminately. In times of desperation, it can lop off its own pincers and fire them like rockets.",Woolly Crab Pokémon,0.5,0.5,Crabrawler,Water 4,
